"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Le repository retourne une liste — le service la propage sans modification","2","Doit retourner la liste complète des clients","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","getAllClients","com.resto.pizzeria_api.service.ClientServiceTest$GetAllClients","shouldReturnAllClients"
"Vérifie que GET /api/orders/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","2","404 — commande inexistante","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/orders/{id}","com.resto.pizzeria_api.controller.OrderControllerTest$GetOrderById","shouldReturn404WhenNotFound"
"Le service délègue au repository.save() et retourne l'entité avec l'ID généré par la base","3","Doit sauvegarder et retourner le client avec son ID généré","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","saveClient","com.resto.pizzeria_api.service.ClientServiceTest$SaveClient","shouldSaveAndReturnClient"
"Vérifie que DELETE /api/clients/{id} retourne 404 pour un ID inexistant","1","DELETE /api/clients/{id} — 404 client inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","deleteClient_shouldReturn404WhenNotFound"
"Doit archiver le plat en mettant available=false et appeler save(), jamais deleteById()","5","Doit archiver le plat en mettant available=false","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","deleteDish soft delete","com.resto.pizzeria_api.service.DishServiceTest$DeleteDish","shouldSetAvailableFalseInsteadOfDeleting"
"Doit retourner tous les articles sans filtrage","3","Doit retourner tous les articles sans filtrage","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","getAllOrderItems","com.resto.pizzeria_api.service.OrderItemServiceTest$GetAllOrderItems","shouldReturnAllOrderItems"
"Vérifie que DELETE /api/clients/{id} retourne 204 après suppression","1","DELETE /api/clients/{id} — 204 client supprimé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","deleteClient_shouldReturn204WhenDeleted"
"Doit lever ApiNotFoundException si l'ID n'existe pas","5","Doit lever ApiNotFoundException si l'ID n'existe pas","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getOrderItemById","com.resto.pizzeria_api.service.OrderItemServiceTest$GetOrderItemById","shouldThrowApiNotFoundExceptionWhenIdNotExists"
"Vérifie que GET /api/order-items retourne 200 avec les articles persistés en H2","1","200 — liste d'articles","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/order-items","com.resto.pizzeria_api.controller.OrderItemControllerTest$GetAllOrderItems","shouldReturn200WithItems"
"Vérifie que GET /api/orders retourne 200 avec les commandes persistées en H2","4","200 — liste de commandes","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/orders","com.resto.pizzeria_api.controller.OrderControllerTest$GetAllOrders","shouldReturn200WithOrders"
"Doit mettre à jour une commande existante","3","Doit mettre à jour une commande existante","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","saveOrder","com.resto.pizzeria_api.service.OrderServiceTest$SaveOrder","shouldUpdateExistingOrder"
"Doit supprimer l'article via orphanRemoval — deleteById jamais appelé","3","Doit supprimer l'article si l'ID existe","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","deleteOrderItem hard delete","com.resto.pizzeria_api.service.OrderItemServiceTest$DeleteOrderItem","shouldDeleteOrderItemWhenIdExists"
"Doit retourner uniquement les plats dont available=true","105","Doit retourner uniquement les plats disponibles (available=true)","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getAllDishes","com.resto.pizzeria_api.service.DishServiceTest$GetAllDishes","shouldReturnOnlyAvailableDishes"
"Doit retourner une liste vide si aucun plat n'est disponible","5","Doit retourner une liste vide si aucun plat disponible","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getAllDishes","com.resto.pizzeria_api.service.DishServiceTest$GetAllDishes","shouldReturnEmptyListWhenNoDishAvailable"
"Vérifie que DELETE /api/dishes/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","2","404 — plat inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$DeleteDish","shouldReturn404WhenNotFound"
"Doit lever ApiNotFoundException si le plat n'existe pas ou est déjà archivé","7","Doit lever ApiNotFoundException si le plat n'existe pas ou est déjà archivé","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","deleteDish soft delete","com.resto.pizzeria_api.service.DishServiceTest$DeleteDish","shouldThrowApiNotFoundExceptionWhenDishNotFoundOrArchived"
"Vérifie que POST /api/dishes retourne 400 + CODE_NOT_VALIDATED quand name trop court","1","400 — name trop court","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$CreateDish","shouldReturn400WhenNameTooShort"
"Vérifie que POST /api/clients retourne 400 + CODE_NOT_VALIDATED quand firstName est vide","1","POST /api/clients — 400 firstName vide","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","createClient_shouldReturn400WhenFirstNameBlank"
"Un plat déjà archivé ne doit pas être trouvé pour une deuxième suppression","5","Un plat déjà archivé est introuvable pour une 2e suppression","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","deleteDish soft delete","com.resto.pizzeria_api.service.DishServiceTest$DeleteDish","shouldNotFindAlreadyArchivedDish"
"Vérifie que PUT /api/order-items/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","2","404 — article inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","PUT /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$UpdateOrderItem","shouldReturn404WhenNotFound"
"Quand la base est vide, le service retourne une liste vide sans exception","70","Doit retourner une liste vide si aucun client","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","getAllClients","com.resto.pizzeria_api.service.ClientServiceTest$GetAllClients","shouldReturnEmptyListWhenNoClients"
"Vérifie que PUT /api/clients/{id} retourne 404 pour un ID inexistant","2","PUT /api/clients/{id} — 404 client inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","updateClient_shouldReturn404WhenNotFound"
"Vérifie que POST /api/orders accepte une commande sans item et retourne 201 avec items=[]","1","201 — commande sans item","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/orders","com.resto.pizzeria_api.controller.OrderControllerTest$CreateOrder","shouldReturn201WithoutItems"
"Vérifie que POST /api/clients retourne 400 + CODE_NOT_VALIDATED quand firstName est trop court","1","POST /api/clients — 400 firstName trop court","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","createClient_shouldReturn400WhenFirstNameTooShort"
"existsById retourne true — le service appelle deleteById sans lever d'exception","3","Doit supprimer le client si l'ID existe","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","deleteClient","com.resto.pizzeria_api.service.ClientServiceTest$DeleteClient","shouldDeleteClientWhenIdExists"
"Vérifie que GET /api/orders/{id} retourne 200 + la commande H2 correspondante","2","200 — commande trouvée","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/orders/{id}","com.resto.pizzeria_api.controller.OrderControllerTest$GetOrderById","shouldReturn200WhenExists"
"Vérifie que PUT /api/clients/{id} met à jour les données et retourne 200","1","PUT /api/clients/{id} — 200 client mis à jour","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","updateClient_shouldReturn200WhenUpdated"
"Doit sauvegarder un plat existant (mise à jour)","5","Doit sauvegarder un plat existant (mise à jour)","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","saveDish","com.resto.pizzeria_api.service.DishServiceTest$SaveDish","shouldSaveExistingDish"
"La suppression est un hard delete — save() ne doit jamais être appelé (pas de soft delete)","4","La suppression doit être un hard delete — save() jamais appelé","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","deleteOrder hard delete","com.resto.pizzeria_api.service.OrderServiceTest$DeleteOrder","shouldBeHardDeleteNotSoftDelete"
"Après DELETE, l'article ne doit plus apparaître dans GET /api/order-items","1","Article hard-deleté disparaît du GET /api/order-items","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$DeleteOrderItem","shouldMakeItemInvisibleInGetAll"
"existsById retourne false — le service lève ApiNotFoundException sans appeler deleteById","2","Doit lever ApiNotFoundException si le client n'existe pas","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","deleteClient","com.resto.pizzeria_api.service.ClientServiceTest$DeleteClient","shouldThrowApiNotFoundExceptionWhenClientNotFound"
"Vérifie que PUT /api/dishes/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","2","404 — plat inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","PUT /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$UpdateDish","shouldReturn404WhenNotFound"
"Vérifie que POST /api/clients retourne 201 avec l'ID généré et les données du client créé","1","POST /api/clients — 201 client créé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","createClient_shouldReturn201WhenValid"
"Doit supprimer la commande si l'ID existe (hard delete)","3","Doit supprimer la commande si l'ID existe","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","deleteOrder hard delete","com.resto.pizzeria_api.service.OrderServiceTest$DeleteOrder","shouldDeleteOrderWhenIdExists"
"Vérifie que PUT /api/orders/{id} met à jour dailyId et les items en H2 et retourne 200","1","200 — commande mise à jour","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","PUT /api/orders/{id}","com.resto.pizzeria_api.controller.OrderControllerTest$UpdateOrder","shouldReturn200WhenUpdated"
"Vérifie que GET /api/clients/{id} retourne 200 et le client correspondant","1","GET /api/clients/{id} — 200 client trouvé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","ClientController — tests d'intégration","com.resto.pizzeria_api.controller.ClientControllerTest","getClientById_shouldReturn200WhenExists"
"Après DELETE, le plat ne doit plus apparaître dans GET /api/dishes (available=false filtré)","2","Plat soft-deleté disparaît du GET /api/dishes","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$DeleteDish","shouldMakeDishInvisibleInGetAll"
"Vérifie que GET /api/dishes retourne 200 avec [] quand la table H2 est vide","2","200 — tableau vide","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$GetAllDishes","shouldReturn200WithEmptyArray"
"Vérifie que DELETE /api/dishes/{id} retourne 204 et met available=false en H2","2","204 — soft delete effectué","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$DeleteDish","shouldReturn204AndSetAvailableFalse"
"Vérifie que GET /api/dishes/{id} retourne 200 + le plat H2 correspondant","2","200 — plat trouvé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$GetDishById","shouldReturn200WhenExists"
"Doit lever ApiNotFoundException si l'article n'existe pas","7","Doit lever ApiNotFoundException si l'article n'existe pas","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","deleteOrderItem hard delete","com.resto.pizzeria_api.service.OrderItemServiceTest$DeleteOrderItem","shouldThrowApiNotFoundExceptionWhenItemNotFound"
"Hard delete via orphanRemoval — save() ne doit jamais être appelé (pas de soft delete)","2","Hard delete — save() jamais appelé","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","deleteOrderItem hard delete","com.resto.pizzeria_api.service.OrderItemServiceTest$DeleteOrderItem","shouldBeHardDeleteNotSoftDelete"
"Doit sauvegarder et retourner le plat avec son ID généré","4","Doit sauvegarder et retourner le plat avec son ID généré","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","saveDish","com.resto.pizzeria_api.service.DishServiceTest$SaveDish","shouldSaveAndReturnDishWithGeneratedId"
"Doit créer une commande et retourner l'objet avec son ID généré","4","Doit créer une commande et retourner l'objet avec son ID généré","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","saveOrder","com.resto.pizzeria_api.service.OrderServiceTest$SaveOrder","shouldCreateOrderAndReturnWithGeneratedId"
"Doit retourner toutes les commandes sans filtrage (pas de soft delete)","4","Doit retourner toutes les commandes sans filtrage","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getAllOrders","com.resto.pizzeria_api.service.OrderServiceTest$GetAllOrders","shouldReturnAllOrders"
"","19","contextLoads()","","Tue Apr 28 07:28:19 UTC 2026","broken","Tue Apr 28 07:28:19 UTC 2026","","com.resto.pizzeria_api.PizzeriaApiApplicationTests","com.resto.pizzeria_api.PizzeriaApiApplicationTests","contextLoads"
"Vérifie que PUT /api/dishes/{id} met à jour les données H2 et retourne 200","1","200 — plat mis à jour","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","PUT /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$UpdateDish","shouldReturn200WhenUpdated"
"Doit retourner la commande si l'ID existe","4","Doit retourner la commande si l'ID existe","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getOrderById","com.resto.pizzeria_api.service.OrderServiceTest$GetOrderById","shouldReturnOrderWhenIdExists"
"findById retourne Optional.empty() — le service doit lever ApiNotFoundException avec l'ID dans le message","2","Doit lever ApiNotFoundException si l'ID n'existe pas","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","getClientById","com.resto.pizzeria_api.service.ClientServiceTest$GetClientById","shouldThrowApiNotFoundExceptionWhenIdNotExists"
"Vérifie que POST /api/order-items lie correctement le dish dans la réponse","1","201 — dish lié correctement","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/order-items","com.resto.pizzeria_api.controller.OrderItemControllerTest$CreateOrderItem","shouldLinkDishCorrectly"
"Vérifie que DELETE /api/orders/{id} retourne 204 et supprime définitivement la commande en H2","2","204 — hard delete effectué","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/orders/{id}","com.resto.pizzeria_api.controller.OrderControllerTest$DeleteOrder","shouldReturn204WhenDeleted"
"Un plat soft-deleté (available=false) doit être traité comme inexistant — 404 attendu","2","404 — plat soft-deleté","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/dishes/{id}","com.resto.pizzeria_api.controller.DishControllerTest$GetDishById","shouldReturn404WhenSoftDeleted"
"Vérifie que DELETE /api/order-items/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","1","404 — article inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$DeleteOrderItem","shouldReturn404WhenNotFound"
"Vérifie que DELETE /api/order-items/{id} retourne 204 et supprime définitivement l'article en H2","1","204 — hard delete effectué","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","DELETE /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$DeleteOrderItem","shouldReturn204WhenDeleted"
"Vérifie que POST /api/dishes retourne 201 + l'ID généré + available=true par défaut","4","201 — plat créé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$CreateDish","shouldReturn201WhenValid"
"Vérifie que POST /api/orders retourne 201 + l'ID généré + l'item persisté avec la bonne quantité","1","201 — commande créée avec item","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","POST /api/orders","com.resto.pizzeria_api.controller.OrderControllerTest$CreateOrder","shouldReturn201WithItem"
"Vérifie que GET /api/order-items/{id} retourne 404 + CODE_NOT_FOUND pour un ID inexistant","1","404 — article inexistant","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$GetOrderItemById","shouldReturn404WhenNotFound"
"Doit conserver la relation bidirectionnelle order↔item après save","5","Doit conserver la relation bidirectionnelle order↔item après save","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","saveOrderItem","com.resto.pizzeria_api.service.OrderItemServiceTest$SaveOrderItem","shouldPreserveBidirectionalRelationship"
"Vérifie que GET /api/order-items/{id} retourne 200 + l'article H2 correspondant","5","200 — article trouvé","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$GetOrderItemById","shouldReturn200WhenExists"
"Doit persister la relation item→order lors de la sauvegarde","3","Doit persister la relation item→order lors de la sauvegarde","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","saveOrder","com.resto.pizzeria_api.service.OrderServiceTest$SaveOrder","shouldPersistItemOrderRelationship"
"Un plat archivé (available=false) est introuvable par ID","5","Doit lever ApiNotFoundException si le plat est archivé (available=false)","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getDishById","com.resto.pizzeria_api.service.DishServiceTest$GetDishById","shouldThrowApiNotFoundExceptionWhenDishIsArchived"
"Vérifie que PUT /api/order-items/{id} met à jour la quantité en H2 et retourne 200","1","200 — quantité mise à jour","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","PUT /api/order-items/{id}","com.resto.pizzeria_api.controller.OrderItemControllerTest$UpdateOrderItem","shouldReturn200WithNewQuantity"
"Vérifie que GET /api/dishes retourne 200 avec les plats disponibles persistés en H2","2","200 — liste de plats disponibles","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$GetAllDishes","shouldReturn200WithAvailableDishes"
"Doit lever ApiNotFoundException si l'ID n'existe pas","4","Doit lever ApiNotFoundException si l'ID n'existe pas","","Tue Apr 28 07:28:21 UTC 2026","passed","Tue Apr 28 07:28:21 UTC 2026","","getOrderById","com.resto.pizzeria_api.service.OrderServiceTest$GetOrderById","shouldThrowApiNotFoundExceptionWhenIdNotExists"
"Doit retourner une liste vide si aucun article en base","3","Doit retourner une liste vide si aucun article","","Tue Apr 28 07:28:22 UTC 2026","passed","Tue Apr 28 07:28:22 UTC 2026","","getAllOrderItems","com.resto.pizzeria_api.service.OrderItemServiceTest$GetAllOrderItems","shouldReturnEmptyListWhenNoItems"
"Les plats soft-deletés (available=false) ne doivent jamais apparaître dans GET /api/dishes","2","200 — les plats soft-deletés sont exclus","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/dishes","com.resto.pizzeria_api.controller.DishControllerTest$GetAllDishes","shouldExcludeSoftDeletedDishes"
"Vérifie que GET /api/orders retourne 200 avec [] quand la table H2 est vide","2","200 — tableau vide","","Tue Apr 28 07:28:20 UTC 2026","broken","Tue Apr 28 07:28:20 UTC 2026","","GET /api/orders","com.resto.pizzeria_api.controller.OrderControllerTest$GetAllOrders","shouldReturn200WithEmptyArray"
